Threads,Arch2_Time_ms,Arch2_Speedup,Opt_Time_ms,Opt_Speedup
1,144898,0.926914105,3258,41.22406384
2,25809,5.203921113,1736,77.36635945
3,25246,5.319971481,1232,109.0162338
4,25844,5.196873549,1036,129.6409266
5,26084,5.149056893,874,153.6704805
6,24917,5.390215516,747,179.7965194
7,25540,5.258731402,751,178.8388815
8,26013,5.163110752,722,186.0221607
9,25806,5.204526079,741,181.2523617
10,45049,2.981375835,728,184.489011
11,25548,5.257084703,695,193.2489209
12,35260,3.80907544,738,181.9891599
13,67982,1.975640611,688,195.2151163
14,26866,4.999181121,670,200.4597015
15,25703,5.225382251,647,207.5857805
16,25611,5.244152903,654,205.3639144
17,25478,5.271528377,637,210.844584
18,25886,5.188441629,623,215.5826645
19,25577,5.251124057,621,216.2769726
20,25799,5.205938215,602,223.10299
